sqft,rooms,bathrooms,construction_date,renovation_date,zip_code,floors,price,has_pool
2400,3,3,1989,1989,30305,3,406212,1
1602,4,1,1960,1960,30327,3,314731,0
3349,3,4,1985,1989,30305,1,585009,1
2479,3,1,2008,2016,30309,2,450515,1
1061,2,2,1988,2002,30309,2,270089,1
1101,2,2,2003,2005,30327,3,215628,0
2881,2,2,2004,2011,30308,3,529768,1
1895,3,4,1973,1973,30342,3,381737,0
3217,4,3,1971,1971,30305,3,568073,0
1715,5,4,2018,2018,30309,3,396628,1
1355,5,1,2005,2009,30308,2,279845,0
2175,2,4,1982,1982,30327,3,420240,1
1916,2,1,1985,1985,30309,1,353234,0
3243,3,4,1969,1969,30327,1,631341,1
1237,5,3,2011,2023,30305,2,293867,1
1778,2,1,1975,1977,30342,1,363018,1
1976,4,2,2015,2015,30309,2,382604,0
1691,4,2,1989,2002,30309,2,354618,1
3164,2,4,1966,1966,30305,1,504157,0
1663,2,2,1950,1956,30308,3,311433,1
3135,5,1,2010,2010,30342,1,541080,0
1279,5,2,1992,1999,30309,1,274712,0
1392,3,3,1991,2001,30342,2,313871,1
2080,5,3,1974,1974,30309,1,411421,1
2962,4,4,1988,1988,30342,2,595064,1
964,4,1,1984,1992,30327,3,311447,1
3468,2,3,1952,1963,30309,3,606768,1
2267,5,3,1993,2007,30342,3,492169,0
2052,3,1,2000,2001,30308,1,440593,1
2927,4,2,1961,1961,30327,2,538781,1
2395,4,2,1968,1973,30327,3,449892,0
2062,3,4,1993,2002,30308,2,391631,1
2422,3,2,2008,2008,30342,2,491384,1
1291,4,1,1998,2000,30305,3,243072,0
2598,4,3,2010,2019,30308,3,494673,1
1318,3,2,1966,1975,30342,2,348966,1
3236,4,4,2006,2015,30308,3,598765,1
1278,2,2,2004,2004,30308,2,229802,0
2696,2,1,1996,1996,30309,2,518263,1
3178,3,4,1961,1961,30342,3,603081,0
2988,5,2,2011,2017,30305,1,581891,1
3082,3,4,1957,1957,30309,3,479646,0
1100,3,1,1970,1976,30308,1,277216,1
2763,5,3,2019,2032,30308,2,496987,0
1679,5,1,2021,2024,30308,2,358798,0
1402,5,1,1974,1975,30342,1,370394,0
3354,2,1,1961,1961,30342,2,631983,0
2651,4,1,1964,1964,30309,1,416710,0
1704,2,3,2008,2008,30305,1,285987,0
3046,4,3,1975,1975,30309,2,576658,1
2795,2,4,1975,1975,30327,1,532301,1
2470,4,2,1996,1996,30308,3,433977,0
1860,2,3,1981,1993,30308,3,356530,0
2385,5,3,1959,1959,30308,2,423678,0
1928,3,2,1965,1965,30309,2,353233,0
1402,2,3,2020,2020,30309,1,318474,1
1297,4,1,1966,1966,30308,1,256109,0
1770,5,1,1972,1972,30309,1,325636,1
1292,2,2,1975,1975,30342,1,328911,1
1106,2,4,1956,1956,30342,3,268340,0
1938,5,4,1963,1965,30309,3,378357,0
2781,2,2,1956,1956,30308,2,445208,1
2384,3,2,1958,1958,30309,1,463090,1
1763,2,1,1997,1999,30309,1,315107,0
1463,3,4,2021,2021,30309,2,337151,0
1920,3,3,2008,2008,30327,1,383429,0
995,5,1,1988,1988,30342,1,279272,1
2823,2,2,1967,1967,30305,1,489378,1
2657,5,4,2008,2008,30305,1,417051,0
3432,2,3,1966,1966,30327,1,626861,1
3178,2,3,1963,1963,30309,2,593833,1
2578,4,1,1980,1987,30327,1,473194,0
1440,2,4,1973,1975,30327,2,271557,0
1959,5,4,2009,2020,30308,1,428099,1
3472,3,2,1994,1994,30342,3,661287,1
2083,2,4,1952,1952,30305,3,381261,0
2622,4,4,1986,1986,30309,3,478446,0
2719,5,1,1992,2004,30305,3,476296,0
2497,2,4,1989,1993,30305,2,444892,0
1695,5,3,2004,2008,30342,2,400194,0
1951,4,1,1988,1994,30305,1,331971,1
2543,4,1,1964,1964,30305,3,431653,1
2263,5,2,1953,1953,30327,2,467840,1
2881,2,4,1974,1979,30342,1,589504,1
2254,3,2,1962,1962,30308,1,355146,0
2563,4,3,1982,1982,30309,2,433664,0
2429,2,1,1965,1968,30305,3,399084,0
2938,2,1,1991,1991,30309,1,530014,1
2396,3,1,2015,2015,30308,3,406713,1
3137,4,3,2004,2006,30309,3,568679,1
2308,4,3,1991,1991,30308,3,415345,0
2300,2,2,1983,1983,30327,1,476649,1
2206,2,2,1979,1979,30305,3,333477,0
1872,3,2,1962,1962,30308,1,327113,0
2668,3,4,1962,1972,30309,3,465359,0
2182,4,1,1967,1974,30305,1,418544,0
1609,5,1,1981,1981,30327,3,331291,0
2379,4,2,1988,2001,30305,2,417704,0
2334,2,1,1995,1995,30308,3,449434,1
1548,4,2,1978,1982,30327,3,300479,0
1217,5,4,2011,2011,30309,1,312033,0
2157,3,4,2011,2023,30327,1,446123,1
1583,5,3,2006,2006,30327,3,376316,0
1563,5,4,1965,1976,30342,2,375352,1
2898,5,2,2005,2005,30327,2,640712,1
2531,3,4,1959,1964,30327,1,477327,1
2395,5,3,1979,1988,30305,2,450321,0
2036,5,1,1974,1984,30309,3,351914,0
2753,5,2,1954,1954,30305,1,490017,1
2420,2,1,2014,2014,30305,3,359954,0
3389,5,3,1998,2006,30308,1,613489,0
1463,3,3,1952,1952,30305,1,326521,1
2191,5,3,1994,1994,30342,1,480065,1
2536,5,1,1963,1965,30342,1,439553,0
1598,3,1,1979,1983,30308,2,296655,1
3060,5,1,2017,2017,30309,3,503245,1
901,3,1,1967,1969,30309,3,230623,1
1541,5,3,2011,2021,30305,3,293987,0
3167,3,3,1986,1986,30305,1,534832,0
2489,5,2,1974,1974,30305,2,436506,0
1754,5,2,1997,1997,30309,3,392793,1
2659,2,1,2014,2016,30327,2,488482,0
3332,2,4,2002,2002,30342,1,658022,1
2561,5,4,1964,1964,30327,3,486811,0
2053,5,3,1998,1998,30327,2,450435,0
1976,4,3,2017,2017,30309,1,405421,1
2607,3,3,1961,1961,30327,2,507790,0
2595,4,2,2008,2008,30308,3,431608,1
2633,2,2,1986,1995,30305,3,478886,0
2339,2,3,2010,2010,30308,1,399684,0
3194,2,3,1992,1992,30342,1,582281,1
1735,2,3,2019,2019,30305,1,376485,1
1102,5,4,1988,1991,30327,2,301835,1
1022,2,2,2005,2005,30342,2,262960,0
1300,5,4,2012,2022,30305,2,266346,0
1666,5,4,1995,1995,30327,1,390625,0
1193,2,3,1960,1961,30308,3,222433,1
3227,2,3,2011,2011,30305,3,562867,1
1097,3,1,1974,1974,30327,2,271997,1
2830,4,1,2020,2024,30308,2,499831,0
3091,2,4,2001,2011,30342,3,583856,0
1508,3,2,1953,1966,30342,3,282284,1
2047,3,3,2008,2008,30342,2,432658,0
1086,4,3,2021,2021,30342,2,308345,1
3411,5,4,1969,1972,30309,3,583903,0
2694,2,1,2012,2012,30305,1,415748,0
1559,4,2,2003,2003,30305,2,325029,1
2855,2,1,2006,2006,30309,3,491815,0
3350,3,1,1990,2003,30327,3,569319,0
2269,3,1,1952,1952,30327,3,374945,1
2886,5,1,1955,1955,30342,3,579768,1
2434,3,3,1954,1965,30308,1,402128,0
1046,3,3,1954,1962,30327,3,251844,1
2634,4,1,2003,2005,30308,2,397863,0
2743,2,2,1996,2008,30305,1,530321,1
1388,2,4,1998,1998,30308,3,268536,0
2859,4,2,1958,1958,30305,1,485311,0
2563,5,2,1969,1976,30309,2,494468,1
3498,2,2,2010,2010,30309,3,571792,0
3285,3,1,1984,1984,30342,2,598331,0
1540,2,3,1999,2006,30327,3,296966,1
2702,3,2,2011,2011,30342,3,551574,1
3420,5,1,1966,1966,30305,3,607806,0
2869,4,2,1952,1952,30342,3,523839,1
3098,2,2,1981,1994,30308,3,577672,1
2338,4,1,1962,1971,30305,1,449548,0
2534,2,3,2017,2017,30309,3,458728,0
1162,3,3,1963,1963,30327,3,256861,1
2687,4,4,1960,1960,30305,1,460592,1
3091,2,1,2005,2017,30305,1,526906,1
3293,3,4,2016,2016,30308,1,559566,0
1523,4,4,1978,1982,30327,1,308972,0
1916,4,4,1958,1958,30309,1,380370,0
1780,2,3,2016,2016,30305,1,317751,0
2949,2,1,1974,1974,30305,3,483313,0
2227,2,4,1991,1997,30308,3,406505,0
3201,3,1,1958,1966,30342,2,600102,0
1352,2,1,1989,1990,30309,3,266721,1
2083,4,3,1974,1979,30327,3,435978,1
2956,4,4,1954,1954,30305,1,520176,0
2582,2,4,1960,1960,30305,1,484543,0
3155,2,1,2008,2009,30309,3,516306,0
2054,5,2,1987,1999,30342,2,429152,1
1303,4,3,2021,2023,30305,1,262905,0
3099,3,3,1954,1954,30309,3,599257,1
3001,5,3,1997,1997,30308,3,593761,1
2596,2,3,1967,1967,30342,2,501344,1
1527,2,4,2019,2019,30327,2,398835,1
1486,4,4,1986,1986,30305,1,323353,1
2548,2,2,2009,2009,30309,2,463810,0
2343,3,3,1997,1997,30308,3,420704,0
2345,4,3,1977,1977,30327,3,464695,1
1003,2,1,2018,2032,30309,2,225244,0
1153,4,4,1989,1989,30309,2,260825,1
3457,2,3,1994,2001,30327,2,660862,1
2396,2,2,2011,2011,30308,2,450798,0
998,2,2,2007,2013,30308,1,249892,0
3100,3,4,2016,2016,30342,2,603005,0
2784,3,2,2005,2005,30305,1,457435,0
2819,4,2,1989,1989,30327,3,557084,0
1777,2,4,1989,1989,30327,2,376486,1
1237,2,3,1982,1982,30327,1,270151,0
1856,3,3,1955,1969,30308,2,349284,0
2604,2,2,1968,1982,30305,3,455535,0
1060,3,2,1989,1992,30342,3,304885,1
2503,2,3,2008,2012,30309,3,474784,0
1297,4,4,2008,2013,30309,2,309429,1
2200,2,2,1997,1997,30327,2,456136,0
1715,2,1,1990,1990,30305,1,303077,0
2427,5,4,1962,1962,30308,3,471468,1
2819,3,2,1994,1996,30305,2,471158,0
2315,2,2,2002,2011,30305,3,390913,0
2058,2,1,1991,1991,30308,3,400804,1
2118,5,1,2012,2012,30327,1,496247,0
1300,5,3,1976,1976,30305,1,281456,1
1539,3,4,1987,1988,30309,1,364233,1
1359,5,4,2009,2015,30308,1,321202,1
1854,4,3,1956,1960,30342,3,397337,1
1369,5,4,1954,1954,30327,1,353289,1
1945,4,4,1994,1994,30308,1,354911,0
2593,3,4,2007,2007,30342,1,480996,0
2985,3,4,1980,1980,30342,1,547570,0
3177,3,4,1972,1972,30305,3,584141,1
1462,3,1,1991,1991,30305,1,298891,1
3385,3,4,1959,1959,30305,3,591266,1
2699,4,1,1981,1993,30308,2,482703,1
2974,4,4,2002,2014,30308,3,555763,0
1125,3,3,1979,1979,30327,3,174908,0
1697,5,2,1988,1988,30305,1,329779,1
3231,2,1,1980,1980,30342,2,576809,1
1859,3,4,1951,1951,30309,2,350963,0
2404,5,3,1961,1974,30327,2,514344,1
1352,2,2,1988,1988,30308,2,262672,1
1715,3,1,2015,2022,30327,3,399176,1
1558,3,2,1962,1962,30327,2,295385,0
1446,4,3,1995,1995,30327,3,315652,0
2115,2,1,1976,1986,30327,3,414285,1
916,2,2,1966,1966,30309,3,174319,0
2143,5,4,2009,2009,30305,2,468702,1
3105,4,1,2013,2021,30342,1,580634,1
3424,4,2,1984,1984,30327,1,582861,0
1969,4,3,2019,2019,30327,2,455649,1
3465,4,3,1979,1979,30327,1,604671,1
3046,2,1,2020,2020,30305,1,520623,0
2668,2,2,2012,2026,30308,3,449687,1
1960,3,1,1977,1977,30308,3,403490,1
3227,3,1,2009,2021,30309,2,601213,1
3444,4,2,1986,1990,30308,2,658352,0
1201,4,2,1971,1972,30327,1,316609,1
1080,4,4,2017,2017,30327,3,244258,0
1506,3,2,1969,1969,30327,2,339116,1
1599,5,3,2017,2017,30309,2,326899,1
1892,5,1,2013,2019,30327,2,437250,1
2039,3,1,1966,1966,30308,2,336821,1
1090,3,3,1961,1961,30305,2,182771,0
3200,3,2,1971,1985,30305,2,492254,0
1880,3,3,1966,1969,30342,1,388790,1
2906,3,3,1959,1959,30308,3,498663,1
2084,3,4,2014,2014,30327,3,405058,1
1027,4,3,1971,1976,30305,2,294295,1
2965,4,1,1999,1999,30308,3,537997,1
2716,4,3,1963,1970,30305,3,505205,1
2658,4,1,2013,2013,30327,3,544429,1
1469,3,1,1996,1996,30305,2,307256,1
2246,5,1,1978,1978,30342,2,406682,0
2795,2,2,1985,1985,30342,3,461244,0
1525,3,4,2001,2011,30305,3,299123,0
2586,2,1,1956,1956,30308,2,484035,1
1054,5,1,1978,1991,30308,1,207716,1
3437,4,2,1960,1960,30308,3,602378,1
2309,5,1,1982,1982,30305,1,425698,0
1684,3,3,1955,1957,30308,3,338733,1
1145,4,3,1981,1981,30327,1,276724,0
2400,3,4,2000,2000,30342,1,508390,1
2605,4,1,2007,2007,30327,1,493232,0
1437,2,2,1975,1975,30308,2,311276,0
2790,2,3,1995,2000,30327,1,476992,0
2741,2,2,1978,1985,30308,1,497660,1
1820,5,2,1953,1953,30305,1,274043,0
3355,3,3,1962,1962,30327,3,541906,1
1424,5,2,1988,2000,30305,1,301558,1
2429,2,3,1964,1967,30305,3,443934,1
935,3,2,1978,1978,30309,1,254016,1
1584,2,3,1978,1978,30308,1,382594,1
919,5,1,1981,1981,30342,2,260846,0
3268,5,4,1951,1964,30308,3,598379,1
3459,5,3,1996,1996,30342,1,665349,1
1299,2,3,1971,1971,30308,3,237569,1
1871,3,4,1976,1985,30305,3,374499,1
2806,3,3,2016,2028,30327,2,576659,1
3418,2,3,2005,2005,30327,2,622157,0
2066,3,2,1970,1970,30309,2,326741,0
2015,2,4,1996,2008,30342,2,458600,1
1733,3,1,2008,2020,30342,2,372659,0
2723,4,3,1955,1957,30342,2,515197,0
2882,4,4,1968,1968,30305,2,515603,1
1753,5,2,2006,2006,30342,2,399589,0
950,4,1,2018,2018,30327,1,268432,1
1474,4,4,1952,1959,30305,3,264563,0
2048,4,1,1950,1950,30308,2,354075,0
3097,2,1,2007,2007,30342,2,557815,0
3261,4,1,1987,1988,30342,3,570469,1
3252,4,3,1964,1964,30308,1,531259,0
2615,5,3,1983,1983,30342,3,459157,0
1581,4,2,2010,2010,30308,3,354652,1
1737,4,2,1984,1985,30305,2,356947,1
1977,3,4,2013,2013,30327,3,391162,0
3391,5,2,1974,1974,30308,3,624163,1
3211,5,1,1973,1973,30309,2,536349,0
2495,5,1,1961,1966,30308,2,386969,0
904,5,3,1967,1967,30342,2,252613,1
2026,5,1,1964,1964,30305,2,419221,1
2119,5,4,1976,1980,30305,3,396113,1
1673,2,1,2021,2028,30308,3,322330,0
1776,4,1,2009,2012,30327,1,400496,1
1891,5,4,1995,1995,30309,1,394898,0
946,4,2,1966,1966,30305,3,271136,1
1168,4,2,2002,2010,30342,1,262792,0
1269,2,4,1957,1957,30342,3,278938,1
1535,5,3,1976,1976,30327,1,288756,0
2029,3,1,1995,1995,30305,2,376952,1
2593,2,4,1999,2007,30308,1,502934,0
2582,3,1,2020,2029,30342,2,485506,1
1556,4,3,1952,1954,30327,2,352734,1
1019,4,1,2013,2013,30305,2,227728,0
1730,2,4,1993,1993,30305,2,318275,1
2710,2,1,2002,2002,30305,1,421215,0
1981,3,2,1973,1973,30305,3,305460,0
2874,5,3,2009,2016,30305,2,529953,1
2269,3,3,1952,1952,30342,1,416621,0
1640,2,3,1969,1974,30327,2,381151,1
1016,3,4,1995,1995,30305,1,274877,1
2753,2,3,1964,1964,30309,1,450476,0
2050,3,2,1974,1974,30309,1,388716,1
2831,2,4,2020,2020,30327,3,567938,0
1912,2,2,1966,1978,30308,1,390647,0
2564,2,1,1958,1958,30308,1,436239,1
1981,5,1,1987,1987,30308,3,400107,1
1533,3,1,1997,1997,30309,3,319698,0
1412,3,1,2009,2009,30308,1,234123,0
2019,3,2,2012,2012,30342,3,413039,1
2041,2,4,1951,1951,30305,2,427150,1
1459,3,4,2021,2021,30309,2,320824,1
1387,3,3,1960,1960,30327,3,234326,1
1796,2,2,2013,2013,30327,3,349875,0
2112,4,1,2021,2021,30305,1,442915,1
1603,2,2,1970,1982,30309,3,290612,0
2370,3,3,1967,1967,30308,1,427384,0
1480,2,3,2013,2021,30308,2,351455,1
3194,4,2,1987,1997,30342,3,580726,0
1053,2,2,1981,1988,30342,1,250965,1
2579,3,2,1960,1972,30308,1,449686,0
1896,4,4,1994,1996,30327,2,418844,1
2143,5,1,1982,1996,30327,3,415301,0
1992,3,2,1990,1990,30342,2,403178,0
1908,4,2,1957,1965,30305,1,334986,1
3041,4,2,1960,1960,30308,1,552907,1
2673,5,3,2000,2000,30342,3,530430,0
1857,2,3,1990,1990,30342,1,339649,0
1352,2,4,1966,1966,30308,3,269070,1
2127,3,1,1995,2004,30308,2,378876,0
3165,5,4,1981,1994,30327,3,595392,1
3421,2,1,2003,2005,30305,3,589084,0
3379,5,3,1969,1969,30305,1,587177,1
3288,2,3,1982,1993,30308,1,559426,0
1450,4,3,1989,1992,30309,3,299982,1
2535,2,4,1981,1981,30342,1,447919,1
2212,5,2,1951,1951,30342,1,373041,0
2657,4,2,1982,1982,30308,1,492290,1
1256,4,3,1979,1980,30309,3,271572,0
2970,4,2,1982,1982,30327,1,554466,1
2685,5,2,1975,1975,30308,3,486611,1
3469,3,4,1971,1971,30308,1,609214,1
2681,3,1,2015,2022,30342,2,526875,0
3389,3,3,1987,1987,30308,1,613465,1
2531,5,3,1995,2000,30308,1,496172,0
1915,4,4,1964,1964,30308,3,386536,1
2248,3,4,1993,1993,30342,3,438190,0
1415,5,2,1998,1998,30327,1,308105,0
1235,3,3,2010,2010,30327,2,268845,0
2682,2,1,2016,2017,30308,1,481803,1
3205,3,4,1955,1955,30342,1,574689,0
1396,3,1,1958,1958,30327,2,287007,1
1795,4,1,1955,1957,30327,3,334589,0
3107,5,3,1981,1981,30327,1,521345,0
1751,4,3,1990,1990,30342,3,383060,0
2587,4,4,1957,1964,30342,3,517905,0
2831,4,3,2021,2023,30308,2,572742,1
3327,4,3,1999,1999,30305,2,592094,0
2468,4,3,2011,2015,30327,3,472236,0
1856,3,1,2011,2011,30305,1,341074,1
2536,4,4,1956,1966,30342,3,517700,0
2191,4,2,1953,1953,30342,1,423345,0
2340,5,1,1955,1969,30342,1,449834,0
2091,2,3,2007,2012,30305,2,385798,0
1966,3,1,1971,1971,30342,1,391950,1
1184,3,3,1975,1975,30308,1,272806,1
3344,3,3,1952,1952,30342,3,556563,0
911,4,1,1990,1990,30309,2,263785,1
2530,4,4,2009,2014,30305,1,521688,1
3446,4,3,1963,1963,30309,1,566048,0
1653,5,4,1961,1961,30342,2,348853,1
2982,2,2,1961,1971,30308,3,440419,0
989,4,3,1962,1965,30327,2,214064,1
1675,2,4,1974,1974,30342,2,393497,1
2525,5,4,1994,2000,30308,1,504633,1
1317,3,2,1968,1973,30305,1,266391,0
1014,4,4,2004,2004,30309,3,221960,1
1516,2,4,1994,1994,30309,1,288504,0
1725,2,2,1957,1957,30309,1,330431,0
2549,4,3,2002,2002,30305,2,483449,1
2416,3,4,2004,2004,30308,1,410592,0
1312,3,4,1981,1994,30305,3,286009,1
1628,3,4,2000,2008,30309,2,317924,0
1575,5,1,1993,1993,30342,3,340591,0
2792,2,2,2019,2019,30327,2,535813,1
3404,2,1,1967,1975,30305,1,589182,1
3139,2,2,1971,1973,30305,2,501901,1
2022,5,3,1986,1986,30308,2,385582,1
2471,2,3,2005,2017,30308,1,481910,0
1877,5,4,2008,2009,30305,1,347192,0
1908,3,2,1952,1955,30309,3,302622,0
3043,4,3,1977,1977,30327,3,574432,1
2587,2,2,1984,1984,30308,1,455218,0
936,2,3,2010,2016,30309,1,232678,1
2448,3,1,2003,2003,30342,1,451239,0
3226,4,3,2012,2015,30308,2,610230,1
3164,5,1,1956,1956,30309,2,540340,0
1772,4,3,1998,1998,30309,2,324569,0
2721,3,4,1980,1980,30327,1,524257,1
2196,3,1,2007,2007,30327,3,455200,0
3009,4,3,2010,2010,30342,1,582952,1
1495,5,4,1973,1973,30309,2,272754,0
2803,5,1,1969,1969,30309,2,443297,0
1628,2,4,1986,1997,30327,1,360681,1
2265,5,2,1953,1959,30308,1,448146,1
1296,4,2,1969,1970,30308,2,256381,0
1598,3,1,2009,2013,30305,2,303430,0
3124,2,3,1973,1984,30327,2,530191,0
2535,2,1,1999,2013,30305,1,458827,0
1295,3,4,1998,2005,30327,2,275108,0
3392,5,3,2000,2000,30342,2,610687,0
