square_footage,rooms,bathrooms,construction_year,renovation_year,zip_code,floors,broadband,hoa_fee,price
2223.0,3,2.0,1968,2017.0,30305,2,1,89.14,236424.0
1939.0,5,2.0,2003,2018.0,30338,1,1,89.58,342846.0
3030.0,3,3.0,1985,,30301,2,1,81.19,343348.0
2591.0,6,2.5,1989,1981.0,30144,1,1,49.51,322146.0
1702.0,5,1.5,1979,2011.0,30030,2,1,108.26,228670.0
2472.0,5,2.0,2010,,30338,1,1,133.11,370423.0
2702.0,5,2.5,1961,,30338,1,1,75.88,304803.0
943.0,6,1.0,1981,,30030,2,1,129.32,145410.0
1647.0,3,2.5,1966,,30318,1,1,100.99,164875.0
2418.0,7,1.0,1999,2001.0,30144,1,0,141.56,236156.0
1045.0,5,3.0,1970,,30305,2,1,89.18,193974.0
1140.0,5,3.0,1971,1996.0,30080,1,1,79.1,221187.0
2038.0,4,3.0,1962,2001.0,30030,2,0,100.27,228661.0
2495.0,3,2.0,2012,,30080,1,1,61.99,275985.0
2523.0,6,2.5,1965,,30301,2,1,87.21,324467.0
3149.0,4,3.0,2012,1999.0,30328,2,1,114.92,432231.0
2249.0,7,2.5,2015,,30338,1,1,99.59,429681.0
1976.0,6,1.5,2019,1992.0,30338,1,1,74.07,347952.0
1416.0,5,1.5,1974,,30030,1,1,81.01,166561.0
1969.0,3,2.5,1997,2014.0,30338,2,1,97.73,334299.0
2625.0,5,2.5,2009,,30309,2,1,96.73,464935.0
2652.0,7,3.5,1955,2013.0,30080,1,1,97.5,360469.0
2359.0,5,3.0,1954,1993.0,30328,1,1,85.18,238104.0
2528.0,6,3.0,1964,,30144,1,1,50.26,277752.0
2966.0,3,3.5,2020,,30328,2,1,55.05,435596.0
2245.0,5,3.0,1956,1987.0,30328,1,1,88.84,277870.0
3020.0,6,1.5,2005,,30338,2,1,99.94,425361.0
1764.0,5,1.5,2010,,30080,1,1,96.06,315602.0
2156.0,7,3.0,2015,,30144,1,1,54.74,331786.0
1912.0,5,2.0,1988,,30338,1,1,70.46,224450.0
2676.0,7,3.5,1987,,30328,1,1,39.77,461304.0
1591.0,6,1.5,2003,,30301,2,1,33.26,284815.0
2007.0,7,2.0,1995,,30301,2,1,77.44,334370.0
1084.0,5,3.0,2006,1983.0,30030,1,1,115.74,302055.0
2557.0,5,3.0,1975,,30318,2,1,77.99,365671.0
2948.0,4,3.0,2017,,30318,2,1,132.24,404315.0
2746.0,6,1.5,1981,,30338,1,1,70.08,295368.0
2688.0,7,2.0,1967,2011.0,30305,1,0,75.94,394372.0
2704.0,3,2.5,2004,,30309,2,1,45.27,390635.0
2620.0,7,3.5,1994,,30301,1,1,64.58,389449.0
2569.0,7,2.0,1953,,30030,1,1,39.3,263760.0
2607.0,6,2.5,1961,2020.0,30328,1,1,28.64,380389.0
1807.0,5,1.5,1952,,30305,1,1,39.81,179860.0
2080.0,7,3.0,1991,,30338,1,1,77.56,342974.0
2242.0,4,1.5,2012,2016.0,30305,2,1,52.9,316440.0
1999.0,6,3.5,1973,,30080,2,1,60.0,310337.0
1260.0,7,1.5,1957,1981.0,30309,1,1,87.3,195193.0
1459.0,7,3.0,2011,,30309,1,1,28.54,393462.0
2338.0,5,3.0,2001,,30080,1,1,77.43,270769.0
2743.0,4,2.0,1989,2021.0,30030,1,0,100.44,358892.0
2206.0,7,2.0,1964,,30030,1,1,103.04,263702.0
3859.0,6,2.5,1998,,30338,2,1,90.5,517489.0
1648.0,6,2.5,1976,1980.0,30328,1,1,73.43,277214.0
2467.0,6,3.0,1967,,30305,2,1,56.29,352120.0
2975.0,7,2.5,1971,2001.0,30309,2,1,72.53,449445.0
2839.0,5,2.0,1954,2005.0,30144,1,0,124.6,252933.0
2593.0,5,3.5,1985,,30144,2,1,83.19,262771.0
2842.0,7,2.0,2004,1991.0,30030,2,1,71.79,429239.0
2233.0,5,2.5,2009,,30080,1,1,91.91,356776.0
3198.0,4,3.5,2002,,30080,1,1,76.49,390163.0
2970.0,6,3.5,2013,,30318,1,0,81.77,474827.0
1689.0,4,2.0,2019,,30030,1,1,67.6,332605.0
2393.0,3,2.0,1965,,30030,2,0,62.55,249953.0
1272.0,4,2.5,1981,,30305,2,1,104.88,210708.0
3113.0,3,2.0,1974,,30144,2,1,16.49,256110.0
2335.0,7,3.0,1999,,30328,2,1,89.36,405914.0
3009.0,7,2.5,2010,,30309,1,1,60.7,528128.0
2134.0,4,2.0,2014,2010.0,30328,2,1,17.84,287652.0
1086.0,7,2.5,1956,,30309,1,1,45.76,205891.0
3782.0,6,3.0,1987,,30309,1,1,73.92,515660.0
2279.0,7,3.0,1958,2017.0,30328,2,1,78.04,361183.0
1600.0,3,2.0,1973,,30144,2,1,97.2,141302.0
2887.0,3,1.5,1984,2006.0,30318,1,1,99.24,307988.0
3422.0,7,2.0,1994,2000.0,30305,2,1,28.6,467547.0
2079.0,4,2.5,2006,,30030,2,1,86.33,344870.0
2140.0,5,3.0,2021,,30309,2,1,96.86,447806.0
2343.0,7,3.0,1974,1982.0,30328,2,1,81.57,302348.0
1533.0,4,3.5,1990,,30309,1,1,90.07,237833.0
1786.0,3,2.5,1954,,30305,1,1,17.02,186905.0
3269.0,6,3.0,1958,,30309,2,1,45.29,432889.0
2121.0,5,2.0,2019,1997.0,30318,1,1,115.98,348402.0
1697.0,3,2.5,2017,2012.0,30144,1,1,66.61,218950.0
1929.0,4,2.5,2017,,30030,2,1,141.69,371095.0
2844.0,5,3.0,1968,,30030,2,1,36.65,325567.0
1014.0,7,3.0,1996,,30301,1,1,121.91,234803.0
2353.0,4,2.0,1966,,30301,2,0,56.68,180971.0
3677.0,5,3.0,1999,,30318,2,1,100.87,470154.0
3419.0,3,3.0,1984,,30080,1,1,66.14,330200.0
2544.0,4,3.5,2017,,30301,1,1,78.47,409374.0
2990.0,4,2.5,1976,,30030,1,1,92.87,363995.0
2984.0,5,3.5,1996,,30080,2,1,56.6,381002.0
2124.0,6,3.0,1997,2013.0,30309,2,1,99.03,434716.0
2755.0,3,3.0,2006,,30305,2,0,67.02,366679.0
3273.0,3,2.5,1953,2015.0,30305,1,1,80.34,372334.0
1442.0,6,3.0,1983,1981.0,30301,2,1,0.0,226401.0
2546.0,4,3.0,1982,,30080,2,1,64.88,321886.0
2417.0,6,2.5,1966,,30080,1,1,112.91,285048.0
2262.0,3,3.5,2007,,30030,2,1,95.84,406429.0
2209.0,6,2.0,2009,,30301,2,1,101.6,347652.0
2339.0,7,2.5,1955,1980.0,30144,2,1,76.6,172728.0
2389.0,5,2.0,1999,2010.0,30030,2,1,125.29,358270.0
2871.0,5,2.5,2012,2002.0,30080,1,1,83.65,432536.0
2486.0,4,2.0,1970,,30318,1,1,55.2,241434.0
2093.0,4,2.0,1995,2006.0,30305,1,1,100.65,254601.0
1696.0,3,2.0,1994,1992.0,30080,2,1,102.68,223771.0
1917.0,5,1.5,1951,,30301,2,1,93.89,179920.0
2357.0,7,1.0,2008,1989.0,30305,2,1,62.91,374572.0
1776.0,3,3.0,2004,,30305,1,1,83.44,288484.0
2768.0,5,2.0,1969,1983.0,30301,1,1,116.8,273613.0
2458.0,7,1.0,1972,,30328,2,1,89.33,321475.0
2886.0,5,1.5,2005,,30309,2,1,30.67,431589.0
1817.0,6,2.0,2007,,30144,1,0,56.14,214248.0
1701.0,4,1.0,1955,2021.0,30144,1,1,54.74,153478.0
2882.0,6,3.5,1975,1981.0,30305,2,1,52.37,403116.0
2278.0,7,2.5,1994,2002.0,30080,1,1,11.66,377869.0
2078.0,5,2.0,1959,2022.0,30301,2,1,131.72,288233.0
2619.0,6,2.5,2021,,30309,1,1,48.71,474236.0
2597.0,6,1.5,1965,2007.0,30338,1,1,50.88,324081.0
1447.0,3,3.0,2012,2009.0,30305,1,1,16.75,309995.0
3031.0,3,3.5,1954,2010.0,30301,2,1,100.99,332558.0
1954.0,6,1.5,2013,,30305,1,1,72.27,371823.0
3220.0,4,2.0,1952,,30338,1,1,64.47,333530.0
1400.0,5,2.5,1998,,30305,1,1,66.06,251409.0
2390.0,5,2.0,1975,,30309,1,1,92.63,351372.0
2089.0,6,1.5,1983,1988.0,30305,2,1,60.6,344113.0
1015.0,7,3.0,1957,2007.0,30080,2,1,15.33,208687.0
2595.0,7,2.5,1998,2020.0,30080,2,0,36.25,365374.0
1046.0,3,2.0,1994,,30080,2,1,34.7,160502.0
2025.0,6,3.0,1973,1980.0,30301,1,1,83.26,265198.0
2863.0,6,1.5,1983,2009.0,30309,2,1,102.9,394210.0
1882.0,7,2.0,1989,,30080,2,1,118.97,295023.0
1658.0,5,3.0,1999,,30328,1,1,25.95,269493.0
2680.0,5,2.5,1988,1996.0,30301,2,1,93.61,336405.0
2050.0,5,2.5,1954,,30309,1,1,56.55,221744.0
1957.0,4,3.0,1989,2008.0,30080,2,1,162.7,239937.0
2965.0,4,2.5,1975,2010.0,30080,1,1,116.51,351140.0
1500.0,6,3.0,1979,1989.0,30318,2,1,126.06,245770.0
1924.0,3,2.5,1976,,30305,1,1,99.07,265178.0
2720.0,6,2.5,1975,2021.0,30301,1,0,86.46,338896.0
1461.0,7,3.0,1967,,30309,2,1,62.92,250560.0
3265.0,4,2.0,1973,,30080,1,1,57.02,289623.0
2070.0,4,3.0,2001,,30080,2,1,51.0,299755.0
2725.0,5,2.0,1966,2019.0,30309,1,1,93.53,372613.0
2723.0,7,2.5,2004,2021.0,30144,2,1,121.81,393965.0
2109.0,3,3.0,1981,,30080,1,0,64.3,221980.0
1913.0,5,2.5,1993,2003.0,30144,1,1,53.33,304748.0
2174.0,4,1.5,1958,,30030,1,1,30.49,212556.0
2628.0,7,2.5,1964,1999.0,30338,1,1,82.34,330659.0
1608.0,7,3.0,2014,,30144,1,1,111.88,262182.0
1478.0,3,3.5,2009,,30030,2,1,113.38,309570.0
3091.0,3,2.5,1955,,30080,2,1,116.35,236687.0
1759.0,3,1.5,2015,,30318,2,1,87.46,278060.0
2412.0,7,2.0,2010,1985.0,30309,2,1,77.71,467882.0
2079.0,7,2.5,1959,2021.0,30338,2,1,113.47,352560.0
2105.0,4,1.5,1967,2010.0,30318,2,1,41.7,218662.0
3058.0,3,3.0,1962,,30318,2,1,61.77,328645.0
2149.0,6,2.5,2011,2004.0,30030,2,0,126.33,386315.0
1986.0,7,2.5,2011,2004.0,30338,2,1,42.76,364069.0
2038.0,7,2.0,2001,2004.0,30309,2,1,73.97,379150.0
1898.0,5,1.0,1968,1995.0,30309,2,1,93.94,258184.0
1798.0,6,2.5,2016,,30328,2,1,77.48,347025.0
1900.0,7,2.5,2011,,30309,2,1,109.48,412709.0
3198.0,7,2.0,2012,,30309,1,1,120.77,561255.0
2627.0,5,3.0,1975,,30305,1,0,89.39,358103.0
1993.0,4,2.5,2000,,30338,1,1,116.7,296969.0
2789.0,4,2.5,1998,,30318,1,1,47.14,359209.0
1248.0,4,3.0,1960,,30318,1,1,70.27,121749.0
3025.0,7,2.0,1991,,30305,2,1,147.16,434260.0
2977.0,6,2.0,1989,,30301,1,1,133.29,320608.0
3542.0,7,3.0,1992,,30030,2,1,36.69,531075.0
2807.0,6,2.0,1974,,30144,2,1,74.62,304916.0
2462.0,5,2.5,1998,,30309,1,1,79.08,382365.0
2975.0,6,3.0,2013,,30080,1,1,87.5,402785.0
1825.0,6,2.5,1993,,30338,2,1,113.22,307743.0
1963.0,6,3.5,2012,1985.0,30309,1,1,130.17,449511.0
2161.0,4,2.5,2005,2001.0,30338,2,1,76.12,357406.0
3021.0,4,2.5,1972,,30305,1,1,108.66,350167.0
1686.0,3,1.0,2002,,30318,2,1,94.45,271130.0
1623.0,4,2.0,1998,1988.0,30030,2,1,74.37,337418.0
2342.0,7,2.5,2017,,30080,2,1,24.06,379077.0
2631.0,7,2.0,1974,1987.0,30305,1,1,105.55,362750.0
1778.0,3,2.5,1961,2004.0,30144,2,1,93.16,197632.0
2602.0,5,2.0,1998,,30338,1,1,86.69,328985.0
3021.0,7,1.0,1995,,30309,2,1,45.56,466688.0
2920.0,6,2.5,1994,,30080,1,1,133.77,373347.0
2412.0,6,2.5,2003,1994.0,30080,2,1,79.57,363441.0
2146.0,5,2.0,1986,,30309,1,1,40.76,291391.0
3241.0,4,3.0,1952,1996.0,30301,1,1,35.93,316336.0
2209.0,7,1.5,2013,,30309,2,1,95.32,359172.0
2764.0,3,1.5,1969,,30030,1,1,96.22,309147.0
3375.0,7,3.5,1967,2006.0,30301,1,1,61.11,465342.0
2701.0,7,3.5,2008,,30309,2,1,88.88,528474.0
1602.0,4,2.5,2007,,30309,1,1,95.03,306278.0
1457.0,5,2.5,1986,2017.0,30301,2,1,79.2,184803.0
2021.0,7,3.0,1999,1992.0,30338,2,1,53.96,348401.0
2626.0,5,2.5,1955,1990.0,30080,2,1,103.84,277560.0
2467.0,4,1.5,1970,1982.0,30305,1,1,100.13,243361.0
3524.0,3,1.5,1967,,30080,1,1,92.03,250382.0
2461.0,5,1.5,1980,,30144,2,1,49.99,217435.0
2004.0,4,3.0,1975,,30080,2,1,35.07,239715.0
1520.0,7,2.5,1954,,30030,2,1,77.3,214296.0
2908.0,7,2.0,1999,,30328,1,1,102.89,457469.0
2196.0,4,2.0,1993,,30305,1,1,106.21,361058.0
1296.0,4,1.5,1977,2009.0,30144,2,1,92.53,173894.0
2213.0,4,3.0,2013,2001.0,30328,1,1,61.49,363823.0
1603.0,5,3.0,1975,1991.0,30328,1,1,50.87,301214.0
1945.0,6,2.5,1958,2002.0,30318,1,1,74.49,212864.0
2204.0,3,3.0,2011,,30305,2,1,74.78,308515.0
1657.0,7,2.0,1959,2021.0,30318,1,1,108.22,227471.0
1907.0,6,2.5,1955,,30080,1,1,60.61,221705.0
1754.0,3,2.5,1984,1992.0,30338,1,1,63.1,229958.0
1770.0,4,1.5,1991,,30318,2,1,136.65,193999.0
1595.0,6,2.5,1970,2002.0,30301,2,1,121.54,223678.0
1910.0,5,3.0,2010,2008.0,30318,2,1,48.52,299490.0
1663.0,5,1.5,1969,,30305,1,0,119.06,141118.0
2552.0,3,2.5,2019,,30318,1,0,41.34,387187.0
2320.0,5,3.0,1995,,30305,1,1,61.98,362692.0
2917.0,6,3.0,1963,,30144,2,1,65.39,344325.0
3332.0,6,2.5,1979,2005.0,30305,2,1,72.67,447577.0
2606.0,5,2.0,1955,2022.0,30305,1,1,93.59,350684.0
2470.0,5,3.0,2010,1982.0,30338,1,1,78.19,401002.0
2644.0,4,2.0,1996,2022.0,30318,1,1,93.44,369597.0
2480.0,6,2.0,1980,,30144,2,1,62.94,278039.0
2230.0,6,1.5,1998,,30318,2,1,86.23,345139.0
2182.0,6,2.5,1994,1982.0,30338,1,1,77.37,349818.0
1587.0,6,2.5,1993,,30080,1,1,33.35,219934.0
2703.0,7,3.0,1978,,30144,2,1,89.49,340533.0
2181.0,7,2.5,1975,1991.0,30080,2,1,77.88,299940.0
3070.0,7,3.5,1968,1988.0,30338,2,1,53.58,409978.0
2749.0,4,2.5,2006,,30080,2,1,62.25,377526.0
1824.0,3,2.5,1983,,30309,2,1,62.99,277566.0
2948.0,3,2.0,1983,1982.0,30080,2,1,67.65,286659.0
664.0,6,2.0,2001,,30080,2,1,127.77,170955.0
3358.0,7,2.5,1988,2020.0,30318,2,1,137.71,430479.0
1397.0,6,3.0,2018,,30301,1,1,0.0,255912.0
2497.0,6,2.0,1967,,30030,1,1,89.65,296034.0
2456.0,3,2.5,1953,2009.0,30301,1,1,103.65,272223.0
2874.0,5,2.0,1980,,30301,1,1,68.52,303202.0
2003.0,6,2.5,1988,,30144,1,1,102.84,290043.0
913.0,3,2.0,2009,,30338,2,1,124.63,183270.0
2004.0,6,1.5,1995,,30338,1,1,33.84,288774.0
2069.0,4,2.0,2017,,30080,2,0,79.01,284934.0
970.0,3,3.0,1956,1982.0,30144,2,1,133.7,128102.0
2227.0,6,3.0,1988,1984.0,30144,1,1,37.87,252371.0
1554.0,5,1.5,2009,,30305,1,1,71.54,277446.0
2589.0,5,1.5,1986,,30309,2,0,61.55,316485.0
2052.0,5,2.5,1969,2016.0,30030,1,0,106.56,268621.0
3377.0,6,2.0,2005,,30301,1,1,110.74,436157.0
2046.0,5,3.0,2012,,30309,2,1,79.87,395716.0
2458.0,7,2.5,1968,1994.0,30328,1,1,75.97,381052.0
2072.0,7,3.0,1989,2000.0,30318,1,1,23.43,337053.0
1226.0,5,1.5,2007,,30305,2,1,117.69,266901.0
2077.0,3,3.5,1960,1986.0,30144,2,1,64.41,213553.0
2652.0,4,3.0,1950,,30328,2,1,70.73,312726.0
2561.0,6,3.0,2003,,30318,1,1,104.15,378341.0
2024.0,4,3.5,2004,1990.0,30338,2,1,80.93,333427.0
1326.0,6,2.5,1961,,30030,2,1,105.12,212452.0
2587.0,6,1.5,1992,2007.0,30328,1,1,93.1,358089.0
2452.0,5,2.5,2001,,30080,1,1,81.11,342194.0
2706.0,3,3.0,2019,1984.0,30309,2,1,84.31,514420.0
2036.0,5,3.0,2008,,30080,2,1,41.32,298768.0
1189.0,6,2.5,1965,,30080,1,1,70.53,198664.0
2520.0,3,3.0,1991,,30301,2,1,107.52,296313.0
2195.0,7,2.0,2002,1981.0,30030,1,1,48.04,411969.0
3035.0,3,2.0,1969,2009.0,30305,2,1,53.54,382086.0
2217.0,5,2.5,1961,,30328,2,1,48.61,277541.0
2173.0,5,2.5,1981,2022.0,30144,2,1,79.6,270997.0
2450.0,6,2.0,2001,1985.0,30305,1,1,117.08,378603.0
1842.0,4,3.0,1988,,30338,2,1,91.41,254238.0
1813.0,4,2.5,1993,,30030,1,1,9.69,273785.0
2141.0,7,2.5,1997,,30328,1,1,94.46,358338.0
1648.0,4,2.0,2018,,30301,1,1,61.74,278008.0
2063.0,6,2.0,1995,,30301,1,1,90.28,253670.0
3364.0,4,3.0,1959,,30328,2,1,70.51,366711.0
2826.0,3,3.0,1978,,30301,2,1,49.19,346090.0
2385.0,5,2.0,1962,2022.0,30301,1,1,72.86,313709.0
3131.0,4,3.0,2004,,30144,2,1,61.76,362136.0
1705.0,4,3.0,2021,2022.0,30328,1,1,84.23,409089.0
3694.0,7,3.0,2005,,30328,2,1,48.42,544931.0
1924.0,6,2.5,1967,,30301,1,1,41.26,229911.0
3402.0,4,2.0,2000,,30080,2,1,96.96,351246.0
3400.0,5,3.0,1951,2011.0,30328,1,1,108.27,403961.0
1148.0,6,2.5,1969,,30305,1,1,92.4,236299.0
3080.0,3,2.0,1971,,30030,2,1,55.54,317660.0
2030.0,3,2.5,1983,2014.0,30309,1,1,52.8,251998.0
1859.0,5,2.5,1973,1998.0,30328,2,1,54.53,301090.0
2515.0,7,2.5,1981,,30338,1,1,101.71,364819.0
1595.0,7,3.0,1950,,30309,1,1,50.25,247099.0
2501.0,5,2.5,2008,,30080,2,1,101.52,347181.0
1636.0,6,2.0,1978,2015.0,30030,2,1,94.11,258263.0
2306.0,5,3.5,2008,2005.0,30309,1,1,112.13,414719.0
3001.0,7,2.0,1954,2004.0,30305,2,1,106.89,420595.0
2432.0,5,1.0,2012,,30309,1,1,91.28,372734.0
1984.0,7,3.0,1995,,30328,1,1,30.94,367613.0
2525.0,4,3.5,1966,,30328,2,0,93.3,278426.0
1356.0,7,3.0,2004,,30318,2,1,78.46,313826.0
