square_footage,rooms,bathrooms,construction_year,renovation_year,zip_code,floors,broadband,lot_size,energy_efficiency,price
1946.0,5,1.0,1967,,30318,1,1,9606.0,3,282103.0
2152.0,5,2.5,1997,,30318,2,1,14272.0,4,405326.0
1188.0,7,2.5,1971,,30144,2,1,3814.0,5,241502.0
1332.0,6,2.5,2006,,30318,1,1,13759.0,4,347286.0
1406.0,4,3.0,2008,,30301,2,1,2126.0,2,262135.0
1602.0,7,3.0,2004,,30080,1,1,11093.0,2,328704.0
2440.0,7,3.0,1988,1985.0,30309,2,0,15417.0,3,540874.0
1657.0,7,1.5,1972,,30144,2,1,14489.0,3,347329.0
1973.0,6,2.5,2016,2015.0,30030,2,0,6806.0,2,437537.0
2980.0,4,2.5,1964,,30080,1,1,7321.0,5,390195.0
1986.0,6,2.0,1983,,30080,1,1,9245.0,5,424713.0
2643.0,4,1.0,1982,,30305,1,1,12745.0,2,422194.0
1640.0,4,2.0,2003,2016.0,30338,2,1,3872.0,4,317480.0
2077.0,5,2.5,1989,1996.0,30318,1,1,11947.0,5,393483.0
1630.0,7,2.5,2007,,30338,1,0,13246.0,1,411750.0
1997.0,5,2.0,2016,,30030,2,0,10868.0,2,422557.0
2704.0,4,3.0,1978,1993.0,30328,2,0,14101.0,4,462864.0
1164.0,5,3.5,2012,,30309,1,0,12895.0,3,447445.0
2461.0,4,2.0,1962,2022.0,30144,1,1,9833.0,4,362509.0
2343.0,6,3.5,2015,,30338,1,1,4255.0,3,432081.0
1844.0,4,1.0,1962,2000.0,30080,1,1,12534.0,1,237266.0
1332.0,5,3.5,2011,1999.0,30309,2,1,8188.0,3,412765.0
2243.0,4,3.5,1978,2002.0,30080,1,0,9687.0,3,378099.0
1882.0,4,1.0,2019,,30309,2,1,13916.0,5,514875.0
2340.0,7,3.0,1959,,30328,1,1,17669.0,1,523458.0
2213.0,4,3.5,1983,,30080,2,1,11848.0,1,354782.0
3161.0,3,3.5,2014,,30318,2,1,14216.0,1,529807.0
2056.0,4,3.5,1953,2000.0,30309,1,0,6222.0,3,361022.0
1586.0,5,2.5,1969,1982.0,30144,1,1,12982.0,5,268430.0
2308.0,3,1.5,1956,1989.0,30144,1,1,11760.0,4,269504.0
2332.0,4,3.0,1973,,30309,1,1,16917.0,5,468451.0
3016.0,3,2.5,1978,2001.0,30309,2,1,9838.0,5,434835.0
2701.0,5,2.5,1994,,30309,1,0,11033.0,4,508426.0
2414.0,6,2.5,1968,2018.0,30301,2,1,16235.0,4,466057.0
3078.0,7,2.5,1961,2010.0,30328,1,1,11632.0,2,559251.0
1487.0,4,2.0,1962,2014.0,30309,1,1,7565.0,5,318146.0
1816.0,7,3.0,2017,2010.0,30080,2,1,22207.0,4,493240.0
1644.0,4,1.5,2018,,30305,2,1,7686.0,5,402001.0
1966.0,6,3.0,1965,,30338,2,1,11741.0,5,333507.0
1374.0,5,3.0,1964,1992.0,30328,1,1,13387.0,2,291137.0
2581.0,6,2.5,1953,,30338,2,1,13070.0,1,407541.0
2067.0,6,2.5,2019,,30305,2,1,11241.0,5,538092.0
1318.0,5,2.0,2000,,30328,1,1,11261.0,3,376479.0
1591.0,4,3.5,2004,,30338,2,1,11060.0,5,363727.0
2388.0,5,3.0,1970,,30318,2,1,7536.0,4,369142.0
2703.0,7,2.0,1996,,30080,1,1,20601.0,2,493264.0
3398.0,7,2.0,1954,,30328,2,1,11120.0,2,511944.0
3948.0,7,2.0,1998,,30318,2,1,14388.0,4,658082.0
2449.0,3,2.5,1991,,30301,1,1,10661.0,2,389849.0
1606.0,5,3.5,1973,2017.0,30305,2,1,10581.0,2,449081.0
921.0,3,3.0,2001,,30328,1,1,10178.0,2,273754.0
2361.0,6,2.0,1996,,30318,1,1,5801.0,4,443193.0
1712.0,7,3.0,1981,1990.0,30080,1,1,11358.0,1,320285.0
1951.0,3,2.0,1963,,30080,1,1,10372.0,1,202844.0
1833.0,6,3.0,1951,,30305,2,1,16686.0,1,392146.0
2116.0,7,2.0,2017,1989.0,30338,2,0,7213.0,4,419616.0
2840.0,7,2.5,1970,,30328,2,1,9691.0,1,475667.0
2294.0,4,3.5,1971,,30301,1,1,8406.0,3,350179.0
2105.0,3,2.0,1999,,30338,2,1,17770.0,1,447932.0
1579.0,7,3.0,1968,2000.0,30328,1,1,8522.0,3,369854.0
1195.0,7,3.5,1977,1981.0,30301,1,1,14249.0,1,333532.0
1908.0,5,2.0,2001,,30328,1,1,15881.0,1,439448.0
2168.0,7,1.5,1992,2019.0,30030,1,1,11416.0,3,452172.0
3261.0,3,3.0,1997,2020.0,30309,2,1,6493.0,4,544493.0
2278.0,6,2.0,1950,2017.0,30318,2,1,6543.0,1,354670.0
2790.0,3,1.5,1982,1993.0,30301,1,1,15439.0,3,406912.0
1900.0,7,2.5,1984,,30305,1,1,6958.0,5,407763.0
1489.0,6,3.0,1995,,30144,2,1,13568.0,4,346141.0
1621.0,7,2.0,1960,,30338,1,1,12457.0,4,377343.0
1765.0,5,2.0,1961,,30305,1,0,13509.0,2,286926.0
3477.0,3,3.0,2004,,30328,2,1,13886.0,5,598095.0
1707.0,3,2.5,1998,2008.0,30305,1,0,8265.0,1,271692.0
2703.0,4,3.0,2008,2005.0,30318,2,1,8098.0,4,475407.0
1658.0,6,2.5,1969,2019.0,30305,2,1,14860.0,3,456576.0
2759.0,3,3.5,2021,1984.0,30338,1,1,9483.0,1,526961.0
2431.0,7,3.0,1969,1997.0,30338,1,1,2000.0,5,420737.0
2106.0,4,1.5,1996,2022.0,30338,1,1,14595.0,4,462662.0
2176.0,5,3.0,1961,1996.0,30318,1,1,7855.0,2,365236.0
1807.0,4,2.5,2016,,30309,2,1,13869.0,1,499400.0
2468.0,5,1.5,1973,,30309,1,1,17571.0,4,497287.0
1927.0,5,2.0,2007,,30305,1,1,12067.0,3,493860.0
1465.0,3,3.0,1973,,30318,2,1,15983.0,1,287975.0
1433.0,5,1.0,2006,,30328,1,0,12615.0,5,319492.0
2304.0,6,2.0,1982,2017.0,30030,1,1,18350.0,4,544240.0
3147.0,7,1.5,1954,,30301,2,1,7752.0,3,417624.0
2296.0,4,2.5,1963,2000.0,30309,1,0,11967.0,2,436552.0
2129.0,7,2.5,1999,,30080,1,1,14693.0,2,475368.0
2371.0,7,2.5,1963,1994.0,30144,1,0,11238.0,3,402039.0
2984.0,7,2.0,1969,,30144,2,1,16609.0,1,426425.0
2332.0,4,1.0,1989,1989.0,30309,1,0,10272.0,2,374179.0
1953.0,7,2.5,1968,,30305,2,0,20277.0,2,404564.0
2864.0,5,2.0,1959,,30305,1,1,20489.0,1,478179.0
2457.0,3,3.0,1994,,30305,2,1,13128.0,1,441673.0
3121.0,4,1.5,1999,,30144,2,1,14210.0,2,422963.0
2310.0,6,1.0,2002,,30080,1,1,16767.0,2,423685.0
1465.0,3,2.0,2017,1992.0,30080,1,0,7251.0,2,292435.0
1379.0,5,2.5,1958,,30030,1,1,6752.0,4,247552.0
3191.0,6,2.0,1980,,30318,1,1,17026.0,3,538881.0
3234.0,3,3.0,1966,2017.0,30328,1,0,13096.0,1,394159.0
2092.0,5,2.0,2014,2007.0,30080,2,1,11094.0,5,438703.0
1970.0,4,2.5,1988,,30080,1,1,12044.0,4,388574.0
3077.0,5,2.5,1957,,30328,2,1,2456.0,3,439933.0
1536.0,4,1.0,1999,,30080,1,1,11238.0,1,293896.0
1663.0,7,2.5,1953,,30318,1,1,8988.0,5,352258.0
2586.0,3,2.0,1969,,30318,1,1,15672.0,4,385494.0
1963.0,7,2.5,2001,,30080,1,1,15980.0,3,442908.0
2197.0,6,1.5,1986,2007.0,30318,2,1,14307.0,1,426608.0
2102.0,7,3.0,2004,,30030,1,0,13582.0,1,486099.0
2403.0,7,3.5,1991,,30328,1,0,6011.0,2,422948.0
3044.0,3,1.0,2010,1995.0,30309,2,1,14363.0,2,520690.0
2254.0,7,2.5,1990,,30305,2,1,14518.0,2,473787.0
2586.0,5,3.0,1954,2011.0,30338,1,1,16981.0,3,491142.0
970.0,7,2.0,1955,,30328,2,1,20473.0,1,299222.0
2171.0,7,3.0,2005,,30318,1,1,5230.0,2,413698.0
1694.0,5,2.5,1952,,30030,1,1,10446.0,5,287399.0
1469.0,4,3.5,1977,,30301,1,1,9031.0,5,320847.0
1673.0,3,3.5,1951,,30301,2,1,12690.0,1,273266.0
2000.0,3,1.0,1971,,30144,1,0,12054.0,4,195342.0
2750.0,4,2.5,1992,,30338,2,1,11064.0,5,444524.0
1404.0,7,2.5,1962,,30328,1,1,16110.0,3,379095.0
2218.0,5,1.5,1983,1990.0,30301,2,1,7594.0,2,294296.0
1909.0,5,2.0,2021,2005.0,30338,1,1,7836.0,3,438798.0
2003.0,4,3.5,1955,,30318,1,1,7903.0,2,327548.0
2802.0,5,1.0,1954,2022.0,30338,2,1,10559.0,2,460190.0
2523.0,6,2.5,1969,2020.0,30301,1,1,7086.0,5,447409.0
3002.0,7,3.0,2009,2002.0,30328,2,1,11806.0,4,644311.0
2107.0,6,2.0,1979,,30338,2,0,11338.0,3,446049.0
1782.0,6,2.5,1996,2014.0,30309,2,1,8854.0,1,361211.0
2066.0,7,3.5,1952,,30301,1,1,15495.0,5,383056.0
2345.0,5,2.5,2002,,30144,2,1,11762.0,1,398707.0
2306.0,7,1.5,1954,,30030,2,1,16251.0,4,412901.0
1549.0,4,1.5,2001,2013.0,30338,1,0,11220.0,2,356416.0
2254.0,3,3.5,1960,,30030,2,1,11903.0,2,361229.0
2337.0,5,2.0,2011,2008.0,30030,2,1,9749.0,1,468519.0
3710.0,3,2.5,1971,,30305,2,0,11972.0,2,493402.0
3326.0,3,1.5,1963,2009.0,30328,2,1,14849.0,4,486537.0
1688.0,7,2.5,1974,,30080,2,1,10355.0,3,318127.0
2028.0,6,3.5,1950,1989.0,30309,2,1,14074.0,1,438165.0
1322.0,4,2.5,1961,,30144,1,1,8749.0,2,158084.0
1846.0,7,3.5,1993,2011.0,30301,2,0,15036.0,1,464404.0
2389.0,3,2.0,1971,,30309,1,1,9680.0,3,381028.0
2924.0,4,2.5,1975,,30318,1,1,15407.0,5,493863.0
1763.0,6,3.0,2008,2017.0,30338,2,1,12244.0,5,453179.0
1808.0,4,2.5,1958,2022.0,30305,1,1,18084.0,5,385024.0
912.0,6,2.0,1978,2006.0,30309,2,1,7384.0,1,278904.0
2102.0,7,3.0,1963,1989.0,30338,1,1,6095.0,3,466510.0
1563.0,3,2.0,1984,,30309,1,1,9535.0,1,323068.0
1882.0,3,2.5,1973,,30080,1,1,6462.0,3,237196.0
1674.0,7,3.5,1953,1998.0,30080,2,0,6469.0,3,322595.0
2143.0,5,2.0,1955,,30309,1,1,14486.0,4,400666.0
1145.0,5,2.0,2011,2002.0,30338,2,1,11983.0,2,312255.0
1320.0,5,1.0,1954,,30309,1,0,10081.0,1,220696.0
3478.0,5,2.0,2006,,30318,1,0,10452.0,3,513453.0
1428.0,6,2.0,2015,,30030,1,1,9611.0,3,405335.0
1542.0,5,3.0,1983,,30309,1,1,18601.0,4,444059.0
3302.0,3,2.0,1972,,30305,2,1,9058.0,1,469898.0
3943.0,6,3.0,2005,,30309,1,1,6711.0,4,660371.0
1497.0,6,2.0,2020,1986.0,30144,2,1,15184.0,3,326272.0
1979.0,3,2.0,1958,,30309,1,1,11137.0,4,315985.0
2405.0,4,2.0,2019,,30318,2,1,20155.0,5,475881.0
3237.0,6,3.0,2017,,30338,2,1,9895.0,2,590709.0
1608.0,6,2.5,1960,2000.0,30301,1,1,15384.0,4,393069.0
2053.0,3,2.0,1953,2004.0,30309,1,1,16329.0,1,378972.0
2666.0,3,3.0,2001,,30305,2,1,9915.0,5,543793.0
2461.0,5,2.5,1955,,30144,1,0,9028.0,3,289696.0
1974.0,5,2.0,1993,,30144,2,1,14965.0,4,429111.0
2120.0,7,3.5,1954,,30030,2,0,14300.0,4,407153.0
1375.0,5,2.0,1999,,30309,2,0,6358.0,4,349473.0
2057.0,7,1.0,1966,1980.0,30338,2,1,7486.0,2,316862.0
2040.0,4,2.5,1956,,30338,2,0,2000.0,4,270664.0
2339.0,5,1.5,1954,1980.0,30080,2,1,14382.0,3,341405.0
1867.0,3,2.0,1963,1993.0,30305,1,1,10953.0,4,379029.0
2483.0,5,3.0,1988,2004.0,30030,2,1,11351.0,4,490429.0
2808.0,3,1.5,1955,,30305,1,1,5234.0,3,353416.0
2293.0,5,3.0,2007,,30338,1,1,7608.0,1,450830.0
2411.0,4,3.5,1993,,30080,2,1,10088.0,2,403762.0
2232.0,3,2.5,1971,2004.0,30301,2,1,9311.0,5,378058.0
2200.0,3,3.0,2021,,30305,2,1,12471.0,3,520026.0
1767.0,5,3.0,1997,,30080,1,1,14334.0,4,405688.0
2390.0,7,3.5,1998,,30301,1,1,21078.0,2,530141.0
2142.0,3,2.0,1962,,30030,2,1,11920.0,4,314460.0
3456.0,5,2.0,2001,,30328,1,1,16462.0,3,592376.0
3144.0,4,2.5,1990,,30318,2,1,8680.0,2,401958.0
2432.0,7,2.5,2020,,30080,1,1,5300.0,1,465754.0
1742.0,5,2.0,1984,,30080,2,1,10591.0,2,273342.0
1533.0,7,2.5,1998,2005.0,30309,1,1,5609.0,3,396669.0
2915.0,4,1.0,1974,1997.0,30301,1,1,12059.0,2,405573.0
2358.0,3,3.5,1952,1997.0,30305,2,1,8878.0,2,406673.0
2488.0,5,2.0,1959,,30301,2,1,4183.0,2,238985.0
1153.0,6,1.0,2012,,30144,2,1,18944.0,2,324680.0
2756.0,7,1.5,2003,,30338,2,1,9850.0,4,531706.0
2473.0,7,2.0,1976,,30030,1,1,5450.0,3,410646.0
1534.0,7,2.0,2000,2013.0,30309,2,1,15593.0,3,525757.0
1917.0,6,1.0,1950,,30080,1,1,9086.0,1,196330.0
2358.0,4,2.0,1952,1992.0,30030,2,1,16361.0,3,350844.0
2231.0,5,2.0,1986,,30030,1,1,9066.0,5,441947.0
2025.0,3,2.0,1994,1984.0,30328,1,1,9836.0,4,353394.0
2138.0,5,2.0,2017,,30030,1,0,13379.0,3,423649.0
2049.0,4,2.0,2004,,30328,2,1,14373.0,2,431140.0
2292.0,3,2.0,1968,,30318,2,1,15074.0,2,374907.0
3083.0,4,1.5,2008,2007.0,30338,1,1,11641.0,1,447289.0
660.0,5,1.0,1985,,30309,2,1,14114.0,1,316060.0
2058.0,4,2.0,2009,,30144,2,1,14983.0,4,354700.0
2306.0,7,3.0,1962,,30030,2,1,12802.0,5,469197.0
2378.0,5,3.5,1951,,30030,2,1,11429.0,5,378271.0
1977.0,7,3.5,1954,1993.0,30030,1,1,6219.0,4,399119.0
1146.0,6,2.5,2021,,30328,1,1,14397.0,5,448862.0
2397.0,3,2.5,1955,1994.0,30144,2,1,12169.0,3,262126.0
3236.0,4,2.0,2017,2005.0,30305,1,1,10346.0,2,651021.0
1280.0,6,3.0,2002,,30338,2,1,17111.0,2,408876.0
2718.0,5,3.0,1960,,30301,1,0,6289.0,2,313231.0
2003.0,4,3.0,2012,1988.0,30309,1,1,18576.0,4,574960.0
2163.0,5,3.0,1960,1988.0,30338,2,1,11911.0,1,431307.0
1568.0,7,2.5,1960,2019.0,30328,2,1,13270.0,5,459891.0
1999.0,4,3.0,1991,1990.0,30144,2,1,10420.0,4,299728.0
2980.0,3,3.0,1970,,30338,2,1,5332.0,2,389703.0
2550.0,4,2.0,1970,1999.0,30318,1,1,11442.0,4,336921.0
3239.0,7,3.5,1964,,30318,2,1,13339.0,1,526835.0
2906.0,6,1.5,1993,1994.0,30338,1,1,14705.0,3,459290.0
2463.0,7,3.5,1951,2016.0,30080,1,1,11208.0,1,389187.0
3246.0,7,3.0,1967,,30309,2,1,3230.0,1,486516.0
2463.0,3,1.5,1989,2010.0,30338,1,1,5833.0,1,356226.0
2697.0,4,3.0,1985,,30338,2,1,20208.0,4,520589.0
2022.0,3,1.0,2000,,30301,1,1,7630.0,4,358395.0
2240.0,3,3.0,1965,,30144,2,0,17708.0,5,348163.0
1782.0,7,3.0,1996,,30338,1,1,8264.0,5,452954.0
2794.0,7,2.5,2004,1993.0,30309,1,1,11270.0,5,570755.0
1493.0,3,3.0,1977,,30338,1,1,14501.0,5,386679.0
2669.0,6,1.5,1968,,30030,1,1,8719.0,1,358923.0
2086.0,5,2.0,1989,,30144,2,1,18369.0,4,429774.0
2903.0,3,2.5,1991,2021.0,30301,2,1,12303.0,4,535405.0
2651.0,7,1.0,1956,2000.0,30318,1,1,13843.0,1,415332.0
3292.0,7,2.5,1990,2022.0,30305,2,1,10930.0,1,640960.0
2638.0,5,2.0,1961,1995.0,30338,1,0,14635.0,5,342488.0
1257.0,6,2.0,1990,,30328,2,1,18315.0,5,409197.0
2160.0,4,2.5,2017,2006.0,30328,2,1,11475.0,2,503236.0
1497.0,6,3.0,1988,1994.0,30144,1,0,18919.0,1,354116.0
1889.0,5,2.0,2004,1989.0,30328,2,1,9554.0,2,366837.0
3107.0,7,3.0,1972,,30318,1,1,15056.0,1,486662.0
2583.0,3,2.5,2016,2008.0,30301,1,0,13956.0,4,383223.0
1781.0,3,2.0,2008,,30309,1,1,7726.0,2,377066.0
1592.0,7,2.5,2016,2012.0,30144,2,1,12855.0,1,317278.0
2220.0,4,2.5,2003,,30328,1,1,12029.0,5,499866.0
1470.0,4,2.0,1996,1987.0,30144,1,1,8587.0,5,306680.0
1797.0,6,2.5,1987,,30328,1,1,13432.0,5,416867.0
2387.0,3,2.0,2016,1981.0,30328,1,1,12585.0,5,502276.0
2893.0,5,2.0,2011,2008.0,30318,2,1,11710.0,1,484269.0
2565.0,4,2.5,1980,1998.0,30338,2,0,11726.0,4,439405.0
825.0,3,2.5,1956,2008.0,30301,1,1,11640.0,4,180032.0
2383.0,7,3.0,1950,2013.0,30301,1,0,10529.0,4,425974.0
2243.0,3,2.0,1966,,30328,1,1,12559.0,2,276455.0
2448.0,3,3.5,1954,,30338,1,1,9424.0,2,271270.0
3170.0,6,3.0,1965,2016.0,30328,2,1,22627.0,5,648896.0
962.0,7,3.5,1957,,30318,1,1,6363.0,1,210306.0
1845.0,3,3.0,2020,,30309,1,1,9661.0,4,471658.0
2555.0,6,1.5,1956,1997.0,30030,2,1,9977.0,4,409919.0
1251.0,5,2.5,1995,1988.0,30338,2,1,20162.0,4,470924.0
3086.0,7,2.0,1975,1990.0,30301,1,1,6719.0,3,448292.0
2421.0,3,3.0,1962,2006.0,30328,1,1,13704.0,4,435573.0
2708.0,7,2.5,2000,,30030,2,0,12994.0,5,574890.0
1857.0,6,2.0,2019,,30080,1,0,13334.0,4,449929.0
2688.0,7,3.5,2006,,30309,1,0,16945.0,1,629968.0
2841.0,4,1.5,2020,,30144,2,0,16863.0,2,448040.0
2340.0,7,2.5,1992,,30338,2,1,10196.0,2,483317.0
2341.0,6,3.0,1998,2012.0,30318,2,1,12776.0,2,424687.0
2362.0,3,1.5,1960,1988.0,30338,1,1,4544.0,2,219444.0
1682.0,7,2.5,2011,1982.0,30080,1,1,12396.0,2,405482.0
2111.0,6,3.0,2003,1992.0,30309,1,1,8824.0,4,493294.0
2108.0,4,1.5,1968,2016.0,30305,2,1,11254.0,1,387181.0
2430.0,5,2.5,1975,,30318,2,1,5259.0,4,364815.0
2800.0,4,2.0,1993,2013.0,30301,1,1,13619.0,4,482627.0
1565.0,5,3.0,1950,2000.0,30080,2,1,5214.0,5,242257.0
2125.0,7,1.5,2008,,30144,1,1,12593.0,1,371302.0
3089.0,7,3.5,1970,2005.0,30338,1,1,7094.0,2,470517.0
1754.0,4,3.0,1955,,30144,2,1,8601.0,5,256417.0
1707.0,7,2.0,1973,1998.0,30301,1,1,16619.0,3,329005.0
2321.0,5,2.0,2010,,30338,1,1,14352.0,3,492756.0
2707.0,6,2.5,1969,2019.0,30318,1,1,16597.0,1,432975.0
2207.0,6,3.0,1988,,30309,2,1,18239.0,4,541030.0
2997.0,5,2.5,2008,2016.0,30309,1,0,8909.0,2,570097.0
2714.0,5,2.0,1952,2003.0,30328,1,0,17996.0,5,479371.0
2705.0,5,1.5,2004,,30338,2,1,6138.0,2,387346.0
2532.0,7,3.5,1970,2000.0,30305,1,0,14984.0,1,488719.0
3597.0,4,2.5,2000,2007.0,30338,1,1,10027.0,3,510992.0
2077.0,4,3.0,1963,,30144,2,0,8279.0,3,203965.0
998.0,4,2.5,1960,2007.0,30301,2,1,14458.0,3,272642.0
3163.0,3,3.5,2006,,30080,2,1,15780.0,5,561271.0
1925.0,4,1.5,2008,,30338,1,1,15661.0,2,422148.0
2265.0,3,1.5,2020,2013.0,30318,2,1,12859.0,2,441226.0
2986.0,3,3.5,1998,,30030,1,0,12528.0,4,524016.0
1239.0,6,3.5,1983,1998.0,30338,1,0,14107.0,1,337899.0
1449.0,3,2.0,1964,,30030,1,1,13215.0,5,246754.0
1239.0,5,2.0,1971,2011.0,30301,1,1,14165.0,2,280887.0
1724.0,6,2.5,1996,2005.0,30301,1,1,12816.0,2,345526.0
2464.0,6,2.5,1974,2002.0,30338,1,1,15371.0,1,432421.0
2515.0,5,2.0,1984,,30309,1,1,5491.0,2,406069.0
