sqft,rooms,bathrooms,construction_date,renovation_date,zip_code,floors,broadband_access,price
2290,5,4,1951,1957,30305,1,0,407676
2378,2,2,2003,2003,30327,2,1,447746
3456,2,3,2014,2014,30305,1,0,571330
1675,3,2,2000,2000,30309,3,1,312842
934,4,1,2002,2002,30309,2,1,181928
3153,3,2,1985,1985,30308,1,1,527583
2855,2,3,1975,1988,30342,3,1,548657
2485,5,3,1978,1981,30305,1,0,437316
1921,3,4,1970,1970,30308,1,0,376376
2029,2,2,1960,1965,30342,1,1,384214
2400,3,3,1989,1989,30305,3,0,386212
1602,4,1,1960,1960,30327,3,0,314731
3349,3,4,1985,1989,30305,1,1,565009
2479,3,1,2008,2016,30309,2,0,430515
1061,2,2,1988,2002,30309,2,0,250089
1101,2,2,2003,2005,30327,3,0,215628
2881,2,2,2004,2011,30308,3,1,509768
1895,3,4,1973,1973,30342,3,0,381737
3217,4,3,1971,1971,30305,3,1,568073
1715,5,4,2018,2018,30309,3,0,376628
1355,5,1,2005,2009,30308,2,0,279845
2175,2,4,1982,1982,30327,3,0,400240
1916,2,1,1985,1985,30309,1,1,353234
3243,3,4,1969,1969,30327,1,1,611341
1237,5,3,2011,2023,30305,2,0,273867
1778,2,1,1975,1977,30342,1,1,343018
1976,4,2,2015,2015,30309,2,0,382604
1691,4,2,1989,2002,30309,2,1,334618
3164,2,4,1966,1966,30305,1,1,504157
1663,2,2,1950,1956,30308,3,0,291433
3135,5,1,2010,2010,30342,1,0,541080
1279,5,2,1992,1999,30309,1,0,274712
1392,3,3,1991,2001,30342,2,0,293871
2080,5,3,1974,1974,30309,1,1,391421
2962,4,4,1988,1988,30342,2,1,575064
964,4,1,1984,1992,30327,3,1,291447
3468,2,3,1952,1963,30309,3,0,586768
2267,5,3,1993,2007,30342,3,0,492169
2052,3,1,2000,2001,30308,1,1,420593
2927,4,2,1961,1961,30327,2,0,518781
2395,4,2,1968,1973,30327,3,1,449892
2062,3,4,1993,2002,30308,2,1,371631
2422,3,2,2008,2008,30342,2,1,471384
1291,4,1,1998,2000,30305,3,1,243072
2598,4,3,2010,2019,30308,3,1,474673
1318,3,2,1966,1975,30342,2,0,328966
3236,4,4,2006,2015,30308,3,0,578765
1278,2,2,2004,2004,30308,2,0,229802
2696,2,1,1996,1996,30309,2,1,498263
3178,3,4,1961,1961,30342,3,1,603081
2988,5,2,2011,2017,30305,1,1,561891
3082,3,4,1957,1957,30309,3,1,479646
1100,3,1,1970,1976,30308,1,0,257216
2763,5,3,2019,2032,30308,2,0,496987
1679,5,1,2021,2024,30308,2,1,358798
1402,5,1,1974,1975,30342,1,1,370394
3354,2,1,1961,1961,30342,2,1,631983
2651,4,1,1964,1964,30309,1,0,416710
1704,2,3,2008,2008,30305,1,0,285987
3046,4,3,1975,1975,30309,2,0,556658
2795,2,4,1975,1975,30327,1,1,512301
2470,4,2,1996,1996,30308,3,1,433977
1860,2,3,1981,1993,30308,3,0,356530
2385,5,3,1959,1959,30308,2,1,423678
1928,3,2,1965,1965,30309,2,0,353233
1402,2,3,2020,2020,30309,1,1,298474
1297,4,1,1966,1966,30308,1,0,256109
1770,5,1,1972,1972,30309,1,1,305636
1292,2,2,1975,1975,30342,1,0,308911
1106,2,4,1956,1956,30342,3,0,268340
1938,5,4,1963,1965,30309,3,0,378357
2781,2,2,1956,1956,30308,2,0,425208
2384,3,2,1958,1958,30309,1,0,443090
1763,2,1,1997,1999,30309,1,0,315107
1463,3,4,2021,2021,30309,2,1,337151
1920,3,3,2008,2008,30327,1,1,383429
995,5,1,1988,1988,30342,1,1,259272
2823,2,2,1967,1967,30305,1,0,469378
2657,5,4,2008,2008,30305,1,0,417051
3432,2,3,1966,1966,30327,1,1,606861
3178,2,3,1963,1963,30309,2,0,573833
2578,4,1,1980,1987,30327,1,0,473194
1440,2,4,1973,1975,30327,2,0,271557
1959,5,4,2009,2020,30308,1,0,408099
3472,3,2,1994,1994,30342,3,0,641287
2083,2,4,1952,1952,30305,3,1,381261
2622,4,4,1986,1986,30309,3,1,478446
2719,5,1,1992,2004,30305,3,1,476296
2497,2,4,1989,1993,30305,2,1,444892
1695,5,3,2004,2008,30342,2,1,400194
1951,4,1,1988,1994,30305,1,0,311971
2543,4,1,1964,1964,30305,3,0,411653
2263,5,2,1953,1953,30327,2,0,447840
2881,2,4,1974,1979,30342,1,0,569504
2254,3,2,1962,1962,30308,1,1,355146
2563,4,3,1982,1982,30309,2,1,433664
2429,2,1,1965,1968,30305,3,1,399084
2938,2,1,1991,1991,30309,1,0,510014
2396,3,1,2015,2015,30308,3,1,386713
3137,4,3,2004,2006,30309,3,0,548679
2308,4,3,1991,1991,30308,3,1,415345
2300,2,2,1983,1983,30327,1,1,456649
2206,2,2,1979,1979,30305,3,0,333477
1872,3,2,1962,1962,30308,1,0,327113
2668,3,4,1962,1972,30309,3,1,465359
2182,4,1,1967,1974,30305,1,1,418544
1609,5,1,1981,1981,30327,3,0,331291
2379,4,2,1988,2001,30305,2,1,417704
2334,2,1,1995,1995,30308,3,1,429434
1548,4,2,1978,1982,30327,3,0,300479
1217,5,4,2011,2011,30309,1,1,312033
2157,3,4,2011,2023,30327,1,0,426123
1583,5,3,2006,2006,30327,3,1,376316
1563,5,4,1965,1976,30342,2,0,355352
2898,5,2,2005,2005,30327,2,1,620712
2531,3,4,1959,1964,30327,1,0,457327
2395,5,3,1979,1988,30305,2,1,450321
2036,5,1,1974,1984,30309,3,0,351914
2753,5,2,1954,1954,30305,1,1,470017
2420,2,1,2014,2014,30305,3,1,359954
3389,5,3,1998,2006,30308,1,1,613489
1463,3,3,1952,1952,30305,1,1,306521
2191,5,3,1994,1994,30342,1,1,460065
2536,5,1,1963,1965,30342,1,1,439553
1598,3,1,1979,1983,30308,2,1,276655
3060,5,1,2017,2017,30309,3,1,483245
901,3,1,1967,1969,30309,3,1,210623
1541,5,3,2011,2021,30305,3,0,293987
3167,3,3,1986,1986,30305,1,0,534832
2489,5,2,1974,1974,30305,2,1,436506
1754,5,2,1997,1997,30309,3,0,372793
2659,2,1,2014,2016,30327,2,1,488482
3332,2,4,2002,2002,30342,1,1,638022
2561,5,4,1964,1964,30327,3,0,486811
2053,5,3,1998,1998,30327,2,1,450435
1976,4,3,2017,2017,30309,1,1,385421
2607,3,3,1961,1961,30327,2,0,507790
2595,4,2,2008,2008,30308,3,0,411608
2633,2,2,1986,1995,30305,3,1,478886
2339,2,3,2010,2010,30308,1,0,399684
3194,2,3,1992,1992,30342,1,0,562281
1735,2,3,2019,2019,30305,1,1,356485
1102,5,4,1988,1991,30327,2,0,281835
1022,2,2,2005,2005,30342,2,0,262960
1300,5,4,2012,2022,30305,2,1,266346
1666,5,4,1995,1995,30327,1,0,390625
1193,2,3,1960,1961,30308,3,0,202433
3227,2,3,2011,2011,30305,3,1,542867
1097,3,1,1974,1974,30327,2,1,251997
2830,4,1,2020,2024,30308,2,1,499831
3091,2,4,2001,2011,30342,3,0,583856
1508,3,2,1953,1966,30342,3,1,262284
2047,3,3,2008,2008,30342,2,1,432658
1086,4,3,2021,2021,30342,2,0,288345
3411,5,4,1969,1972,30309,3,1,583903
2694,2,1,2012,2012,30305,1,1,415748
1559,4,2,2003,2003,30305,2,1,305029
2855,2,1,2006,2006,30309,3,1,491815
3350,3,1,1990,2003,30327,3,0,569319
2269,3,1,1952,1952,30327,3,1,354945
2886,5,1,1955,1955,30342,3,1,559768
2434,3,3,1954,1965,30308,1,0,402128
1046,3,3,1954,1962,30327,3,1,231844
2634,4,1,2003,2005,30308,2,0,397863
2743,2,2,1996,2008,30305,1,0,510321
1388,2,4,1998,1998,30308,3,0,268536
2859,4,2,1958,1958,30305,1,1,485311
2563,5,2,1969,1976,30309,2,0,474468
3498,2,2,2010,2010,30309,3,0,571792
3285,3,1,1984,1984,30342,2,0,598331
1540,2,3,1999,2006,30327,3,1,276966
2702,3,2,2011,2011,30342,3,1,531574
3420,5,1,1966,1966,30305,3,1,607806
2869,4,2,1952,1952,30342,3,1,503839
3098,2,2,1981,1994,30308,3,1,557672
2338,4,1,1962,1971,30305,1,1,449548
2534,2,3,2017,2017,30309,3,1,458728
1162,3,3,1963,1963,30327,3,0,236861
2687,4,4,1960,1960,30305,1,0,440592
3091,2,1,2005,2017,30305,1,0,506906
3293,3,4,2016,2016,30308,1,0,559566
1523,4,4,1978,1982,30327,1,1,308972
1916,4,4,1958,1958,30309,1,0,380370
1780,2,3,2016,2016,30305,1,0,317751
2949,2,1,1974,1974,30305,3,0,483313
2227,2,4,1991,1997,30308,3,0,406505
3201,3,1,1958,1966,30342,2,1,600102
1352,2,1,1989,1990,30309,3,1,246721
2083,4,3,1974,1979,30327,3,1,415978
2956,4,4,1954,1954,30305,1,0,520176
2582,2,4,1960,1960,30305,1,1,484543
3155,2,1,2008,2009,30309,3,0,516306
2054,5,2,1987,1999,30342,2,1,409152
1303,4,3,2021,2023,30305,1,1,262905
3099,3,3,1954,1954,30309,3,1,579257
3001,5,3,1997,1997,30308,3,1,573761
2596,2,3,1967,1967,30342,2,1,481344
1527,2,4,2019,2019,30327,2,0,378835
1486,4,4,1986,1986,30305,1,1,303353
2548,2,2,2009,2009,30309,2,0,463810
2343,3,3,1997,1997,30308,3,0,420704
2345,4,3,1977,1977,30327,3,0,444695
1003,2,1,2018,2032,30309,2,0,225244
1153,4,4,1989,1989,30309,2,0,240825
3457,2,3,1994,2001,30327,2,1,640862
2396,2,2,2011,2011,30308,2,1,450798
998,2,2,2007,2013,30308,1,1,249892
3100,3,4,2016,2016,30342,2,1,603005
2784,3,2,2005,2005,30305,1,0,457435
2819,4,2,1989,1989,30327,3,1,557084
1777,2,4,1989,1989,30327,2,1,356486
1237,2,3,1982,1982,30327,1,0,270151
1856,3,3,1955,1969,30308,2,0,349284
2604,2,2,1968,1982,30305,3,1,455535
1060,3,2,1989,1992,30342,3,1,284885
2503,2,3,2008,2012,30309,3,0,474784
1297,4,4,2008,2013,30309,2,1,289429
2200,2,2,1997,1997,30327,2,1,456136
1715,2,1,1990,1990,30305,1,1,303077
2427,5,4,1962,1962,30308,3,1,451468
2819,3,2,1994,1996,30305,2,0,471158
2315,2,2,2002,2011,30305,3,0,390913
2058,2,1,1991,1991,30308,3,0,380804
2118,5,1,2012,2012,30327,1,1,496247
1300,5,3,1976,1976,30305,1,1,261456
1539,3,4,1987,1988,30309,1,1,344233
1359,5,4,2009,2015,30308,1,1,301202
1854,4,3,1956,1960,30342,3,1,377337
1369,5,4,1954,1954,30327,1,0,333289
1945,4,4,1994,1994,30308,1,1,354911
2593,3,4,2007,2007,30342,1,1,480996
2985,3,4,1980,1980,30342,1,0,547570
3177,3,4,1972,1972,30305,3,1,564141
1462,3,1,1991,1991,30305,1,0,278891
3385,3,4,1959,1959,30305,3,0,571266
2699,4,1,1981,1993,30308,2,0,462703
2974,4,4,2002,2014,30308,3,0,555763
1125,3,3,1979,1979,30327,3,0,174908
1697,5,2,1988,1988,30305,1,1,309779
3231,2,1,1980,1980,30342,2,0,556809
1859,3,4,1951,1951,30309,2,0,350963
2404,5,3,1961,1974,30327,2,1,494344
1352,2,2,1988,1988,30308,2,1,242672
1715,3,1,2015,2022,30327,3,0,379176
1558,3,2,1962,1962,30327,2,1,295385
1446,4,3,1995,1995,30327,3,1,315652
2115,2,1,1976,1986,30327,3,0,394285
916,2,2,1966,1966,30309,3,0,174319
2143,5,4,2009,2009,30305,2,1,448702
3105,4,1,2013,2021,30342,1,0,560634
3424,4,2,1984,1984,30327,1,0,582861
1969,4,3,2019,2019,30327,2,1,435649
3465,4,3,1979,1979,30327,1,0,584671
3046,2,1,2020,2020,30305,1,0,520623
2668,2,2,2012,2026,30308,3,0,429687
1960,3,1,1977,1977,30308,3,0,383490
3227,3,1,2009,2021,30309,2,0,581213
3444,4,2,1986,1990,30308,2,1,658352
1201,4,2,1971,1972,30327,1,1,296609
1080,4,4,2017,2017,30327,3,0,244258
1506,3,2,1969,1969,30327,2,1,319116
1599,5,3,2017,2017,30309,2,0,306899
1892,5,1,2013,2019,30327,2,0,417250
2039,3,1,1966,1966,30308,2,0,316821
1090,3,3,1961,1961,30305,2,0,182771
3200,3,2,1971,1985,30305,2,0,492254
1880,3,3,1966,1969,30342,1,1,368790
2906,3,3,1959,1959,30308,3,1,478663
2084,3,4,2014,2014,30327,3,0,385058
1027,4,3,1971,1976,30305,2,1,274295
2965,4,1,1999,1999,30308,3,0,517997
2716,4,3,1963,1970,30305,3,1,485205
2658,4,1,2013,2013,30327,3,0,524429
1469,3,1,1996,1996,30305,2,1,287256
2246,5,1,1978,1978,30342,2,0,406682
2795,2,2,1985,1985,30342,3,0,461244
1525,3,4,2001,2011,30305,3,1,299123
2586,2,1,1956,1956,30308,2,1,464035
1054,5,1,1978,1991,30308,1,0,187716
3437,4,2,1960,1960,30308,3,1,582378
2309,5,1,1982,1982,30305,1,0,425698
1684,3,3,1955,1957,30308,3,1,318733
1145,4,3,1981,1981,30327,1,1,276724
2400,3,4,2000,2000,30342,1,0,488390
2605,4,1,2007,2007,30327,1,1,493232
1437,2,2,1975,1975,30308,2,1,311276
2790,2,3,1995,2000,30327,1,0,476992
2741,2,2,1978,1985,30308,1,1,477660
1820,5,2,1953,1953,30305,1,0,274043
3355,3,3,1962,1962,30327,3,0,521906
1424,5,2,1988,2000,30305,1,0,281558
2429,2,3,1964,1967,30305,3,0,423934
935,3,2,1978,1978,30309,1,0,234016
1584,2,3,1978,1978,30308,1,1,362594
919,5,1,1981,1981,30342,2,0,260846
3268,5,4,1951,1964,30308,3,0,578379
3459,5,3,1996,1996,30342,1,1,645349
1299,2,3,1971,1971,30308,3,1,217569
1871,3,4,1976,1985,30305,3,1,354499
2806,3,3,2016,2028,30327,2,0,556659
3418,2,3,2005,2005,30327,2,0,622157
2066,3,2,1970,1970,30309,2,0,326741
2015,2,4,1996,2008,30342,2,1,438600
1733,3,1,2008,2020,30342,2,0,372659
2723,4,3,1955,1957,30342,2,1,515197
2882,4,4,1968,1968,30305,2,0,495603
1753,5,2,2006,2006,30342,2,1,399589
950,4,1,2018,2018,30327,1,0,248432
1474,4,4,1952,1959,30305,3,0,264563
2048,4,1,1950,1950,30308,2,0,354075
3097,2,1,2007,2007,30342,2,1,557815
3261,4,1,1987,1988,30342,3,1,550469
3252,4,3,1964,1964,30308,1,0,531259
2615,5,3,1983,1983,30342,3,0,459157
1581,4,2,2010,2010,30308,3,0,334652
1737,4,2,1984,1985,30305,2,1,336947
1977,3,4,2013,2013,30327,3,0,391162
3391,5,2,1974,1974,30308,3,0,604163
3211,5,1,1973,1973,30309,2,0,536349
2495,5,1,1961,1966,30308,2,0,386969
904,5,3,1967,1967,30342,2,1,232613
2026,5,1,1964,1964,30305,2,1,399221
2119,5,4,1976,1980,30305,3,0,376113
1673,2,1,2021,2028,30308,3,0,322330
1776,4,1,2009,2012,30327,1,1,380496
1891,5,4,1995,1995,30309,1,1,394898
946,4,2,1966,1966,30305,3,0,251136
1168,4,2,2002,2010,30342,1,1,262792
1269,2,4,1957,1957,30342,3,1,258938
1535,5,3,1976,1976,30327,1,0,288756
2029,3,1,1995,1995,30305,2,1,356952
2593,2,4,1999,2007,30308,1,1,502934
2582,3,1,2020,2029,30342,2,0,465506
1556,4,3,1952,1954,30327,2,0,332734
1019,4,1,2013,2013,30305,2,1,227728
1730,2,4,1993,1993,30305,2,0,298275
2710,2,1,2002,2002,30305,1,1,421215
1981,3,2,1973,1973,30305,3,0,305460
2874,5,3,2009,2016,30305,2,1,509953
2269,3,3,1952,1952,30342,1,0,416621
1640,2,3,1969,1974,30327,2,1,361151
1016,3,4,1995,1995,30305,1,1,254877
2753,2,3,1964,1964,30309,1,1,450476
2050,3,2,1974,1974,30309,1,0,368716
2831,2,4,2020,2020,30327,3,0,567938
1912,2,2,1966,1978,30308,1,1,390647
2564,2,1,1958,1958,30308,1,1,416239
1981,5,1,1987,1987,30308,3,0,380107
1533,3,1,1997,1997,30309,3,0,319698
1412,3,1,2009,2009,30308,1,0,234123
2019,3,2,2012,2012,30342,3,0,393039
2041,2,4,1951,1951,30305,2,0,407150
1459,3,4,2021,2021,30309,2,0,300824
1387,3,3,1960,1960,30327,3,1,214326
1796,2,2,2013,2013,30327,3,0,349875
2112,4,1,2021,2021,30305,1,1,422915
1603,2,2,1970,1982,30309,3,0,290612
2370,3,3,1967,1967,30308,1,0,427384
1480,2,3,2013,2021,30308,2,1,331455
3194,4,2,1987,1997,30342,3,1,580726
1053,2,2,1981,1988,30342,1,0,230965
2579,3,2,1960,1972,30308,1,1,449686
1896,4,4,1994,1996,30327,2,1,398844
2143,5,1,1982,1996,30327,3,1,415301
1992,3,2,1990,1990,30342,2,1,403178
1908,4,2,1957,1965,30305,1,0,314986
3041,4,2,1960,1960,30308,1,1,532907
2673,5,3,2000,2000,30342,3,0,530430
1857,2,3,1990,1990,30342,1,0,339649
1352,2,4,1966,1966,30308,3,0,249070
2127,3,1,1995,2004,30308,2,0,378876
3165,5,4,1981,1994,30327,3,1,575392
3421,2,1,2003,2005,30305,3,1,589084
3379,5,3,1969,1969,30305,1,0,567177
3288,2,3,1982,1993,30308,1,0,559426
1450,4,3,1989,1992,30309,3,0,279982
2535,2,4,1981,1981,30342,1,0,427919
2212,5,2,1951,1951,30342,1,1,373041
2657,4,2,1982,1982,30308,1,0,472290
1256,4,3,1979,1980,30309,3,1,271572
2970,4,2,1982,1982,30327,1,0,534466
2685,5,2,1975,1975,30308,3,0,466611
3469,3,4,1971,1971,30308,1,0,589214
2681,3,1,2015,2022,30342,2,0,526875
3389,3,3,1987,1987,30308,1,1,593465
2531,5,3,1995,2000,30308,1,1,496172
1915,4,4,1964,1964,30308,3,1,366536
2248,3,4,1993,1993,30342,3,0,438190
1415,5,2,1998,1998,30327,1,0,308105
1235,3,3,2010,2010,30327,2,1,268845
2682,2,1,2016,2017,30308,1,1,461803
3205,3,4,1955,1955,30342,1,0,574689
1396,3,1,1958,1958,30327,2,0,267007
1795,4,1,1955,1957,30327,3,1,334589
3107,5,3,1981,1981,30327,1,0,521345
1751,4,3,1990,1990,30342,3,0,383060
2587,4,4,1957,1964,30342,3,1,517905
2831,4,3,2021,2023,30308,2,0,552742
3327,4,3,1999,1999,30305,2,1,592094
2468,4,3,2011,2015,30327,3,0,472236
1856,3,1,2011,2011,30305,1,1,321074
2536,4,4,1956,1966,30342,3,0,517700
2191,4,2,1953,1953,30342,1,1,423345
2340,5,1,1955,1969,30342,1,1,449834
2091,2,3,2007,2012,30305,2,1,385798
1966,3,1,1971,1971,30342,1,1,371950
1184,3,3,1975,1975,30308,1,0,252806
3344,3,3,1952,1952,30342,3,0,556563
911,4,1,1990,1990,30309,2,1,243785
2530,4,4,2009,2014,30305,1,0,501688
3446,4,3,1963,1963,30309,1,0,566048
1653,5,4,1961,1961,30342,2,0,328853
2982,2,2,1961,1971,30308,3,0,440419
989,4,3,1962,1965,30327,2,0,194064
1675,2,4,1974,1974,30342,2,1,373497
2525,5,4,1994,2000,30308,1,1,484633
1317,3,2,1968,1973,30305,1,1,266391
1014,4,4,2004,2004,30309,3,1,201960
1516,2,4,1994,1994,30309,1,0,288504
1725,2,2,1957,1957,30309,1,0,330431
2549,4,3,2002,2002,30305,2,1,463449
2416,3,4,2004,2004,30308,1,0,410592
1312,3,4,1981,1994,30305,3,0,266009
1628,3,4,2000,2008,30309,2,1,317924
1575,5,1,1993,1993,30342,3,0,340591
2792,2,2,2019,2019,30327,2,1,515813
3404,2,1,1967,1975,30305,1,1,569182
3139,2,2,1971,1973,30305,2,0,481901
2022,5,3,1986,1986,30308,2,0,365582
2471,2,3,2005,2017,30308,1,1,481910
1877,5,4,2008,2009,30305,1,1,347192
1908,3,2,1952,1955,30309,3,0,302622
3043,4,3,1977,1977,30327,3,1,554432
2587,2,2,1984,1984,30308,1,1,455218
936,2,3,2010,2016,30309,1,1,212678
2448,3,1,2003,2003,30342,1,0,451239
3226,4,3,2012,2015,30308,2,1,590230
3164,5,1,1956,1956,30309,2,0,540340
1772,4,3,1998,1998,30309,2,1,324569
2721,3,4,1980,1980,30327,1,0,504257
2196,3,1,2007,2007,30327,3,1,455200
3009,4,3,2010,2010,30342,1,0,562952
1495,5,4,1973,1973,30309,2,0,272754
2803,5,1,1969,1969,30309,2,0,443297
1628,2,4,1986,1997,30327,1,1,340681
2265,5,2,1953,1959,30308,1,1,428146
1296,4,2,1969,1970,30308,2,1,256381
1598,3,1,2009,2013,30305,2,0,303430
3124,2,3,1973,1984,30327,2,1,530191
2535,2,1,1999,2013,30305,1,0,458827
1295,3,4,1998,2005,30327,2,1,275108
3392,5,3,2000,2000,30342,2,0,610687
